Spieltag;Heimmannschaft;Auswärtsmannschaft;Tore_Heim;Tore_Gast
14;FC Augsburg;VfL Wolfsburg;0;0
14;FC Bayern München;Hertha BSC;2;0
14;Hannover 96;FC Ingolstadt 04;4;0
14;SV Darmstadt 98;1. FC Köln;0;0
14;SV Werder Bremen;Hamburger SV;1;3
15;1. FC Köln;FC Augsburg;0;1
15;Borussia Mönchengladbach;FC Bayern München;3;1
15;Eintracht Frankfurt;SV Darmstadt 98;0;1
15;FC Ingolstadt 04;1899 Hoffenheim;1;1
15;FC Schalke 04;Hannover 96;3;1
15;Hamburger SV;1. FSV Mainz 05;1;3
15;Hertha BSC;Bayer Leverkusen;2;1
15;VfB Stuttgart;SV Werder Bremen;1;1
15;VfL Wolfsburg;Borussia Dortmund;1;2
16;1. FSV Mainz 05;VfB Stuttgart;0;0
16;1899 Hoffenheim;Hannover 96;1;0
16;Bayer Leverkusen;Borussia Mönchengladbach;5;0
16;Borussia Dortmund;Eintracht Frankfurt;4;1
16;FC Augsburg;FC Schalke 04;2;1
16;FC Bayern München;FC Ingolstadt 04;2;0
16;SV Darmstadt 98;Hertha BSC;0;4
16;SV Werder Bremen;1. FC Köln;1;1
16;VfL Wolfsburg;Hamburger SV;1;1
17;1. FC Köln;Borussia Dortmund;2;1
17;Borussia Mönchengladbach;SV Darmstadt 98;3;2
17;Eintracht Frankfurt;SV Werder Bremen;2;1
17;FC Ingolstadt 04;Bayer Leverkusen;0;1
17;FC Schalke 04;1899 Hoffenheim;1;0
17;Hamburger SV;FC Augsburg;0;1
17;Hannover 96;FC Bayern München;0;1
17;Hertha BSC;1. FSV Mainz 05;2;0
17;VfB Stuttgart;VfL Wolfsburg;3;1
18;1. FC Köln;VfB Stuttgart;1;3
18;1899 Hoffenheim;Bayer Leverkusen;1;1
18;Borussia Mönchengladbach;Borussia Dortmund;1;3
18;Eintracht Frankfurt;VfL Wolfsburg;3;2
18;FC Ingolstadt 04;1. FSV Mainz 05;1;0
18;FC Schalke 04;SV Werder Bremen;1;3
18;Hamburger SV;FC Bayern München;1;2
18;Hannover 96;SV Darmstadt 98;1;2
18;Hertha BSC;FC Augsburg;0;0
19;1. FSV Mainz 05;Borussia Mönchengladbach;1;0
19;Bayer Leverkusen;Hannover 96;3;0
19;Borussia Dortmund;FC Ingolstadt 04;2;0
19;FC Augsburg;Eintracht Frankfurt;0;0
19;FC Bayern München;1899 Hoffenheim;2;0
19;SV Darmstadt 98;FC Schalke 04;0;2
19;SV Werder Bremen;Hertha BSC;3;3
19;VfB Stuttgart;Hamburger SV;2;1
19;VfL Wolfsburg;1. FC Köln;1;1
20;1899 Hoffenheim;SV Darmstadt 98;0;2
20;Bayer Leverkusen;FC Bayern München;0;0
20;Borussia Mönchengladbach;SV Werder Bremen;5;1
20;Eintracht Frankfurt;VfB Stuttgart;2;4
20;FC Ingolstadt 04;FC Augsburg;2;1
20;FC Schalke 04;VfL Wolfsburg;3;0
20;Hamburger SV;1. FC Köln;1;1
20;Hannover 96;1. FSV Mainz 05;0;1
20;Hertha BSC;Borussia Dortmund;0;0
21;1. FC Köln;Eintracht Frankfurt;3;1
21;1. FSV Mainz 05;FC Schalke 04;2;1
21;Borussia Dortmund;Hannover 96;1;0
21;FC Augsburg;FC Bayern München;1;3
21;Hamburger SV;Borussia Mönchengladbach;3;2
21;SV Darmstadt 98;Bayer Leverkusen;1;2
21;SV Werder Bremen;1899 Hoffenheim;1;1
21;VfB Stuttgart;Hertha BSC;2;0
21;VfL Wolfsburg;FC Ingolstadt 04;2;0
22;1899 Hoffenheim;1. FSV Mainz 05;3;2
22;Bayer Leverkusen;Borussia Dortmund;0;1
22;Borussia Mönchengladbach;1. FC Köln;1;0
22;Eintracht Frankfurt;Hamburger SV;0;0
22;FC Bayern München;SV Darmstadt 98;3;1
22;FC Ingolstadt 04;SV Werder Bremen;2;0
22;FC Schalke 04;VfB Stuttgart;1;1
22;Hannover 96;FC Augsburg;0;1
22;Hertha BSC;VfL Wolfsburg;1;1
23;1. FC Köln;Hertha BSC;0;1
23;1. FSV Mainz 05;Bayer Leverkusen;3;1
23;Borussia Dortmund;1899 Hoffenheim;3;1
23;Eintracht Frankfurt;FC Schalke 04;0;0
23;FC Augsburg;Borussia Mönchengladbach;2;2
23;Hamburger SV;FC Ingolstadt 04;1;1
23;SV Werder Bremen;SV Darmstadt 98;2;2
23;VfB Stuttgart;Hannover 96;1;2
23;VfL Wolfsburg;FC Bayern München;0;2
24;1899 Hoffenheim;FC Augsburg;2;1
24;Bayer Leverkusen;SV Werder Bremen;1;4
24;Borussia Mönchengladbach;VfB Stuttgart;4;0
24;FC Bayern München;1. FSV Mainz 05;1;2
24;FC Ingolstadt 04;1. FC Köln;1;1
24;FC Schalke 04;Hamburger SV;3;2
24;Hannover 96;VfL Wolfsburg;0;4
